task_id,category,N,w_ratio,w_C,w_A,r_min,seed,payoff_mode,selection_mode,n_candidates,n_parsed,selected_index,r_selected,a_selected,y,V_selected,brier,gate_cleared
arith_easy_01,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999983,788,1,0.999999999711,2.8900000000152174e-10,1
arith_easy_02,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,1,0.999962,-734,1,0.999999998556,1.4439999999986695e-09,1
arith_easy_03,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,1,0.99993,75660,1,0.9999999951,4.900000000002029e-09,1
arith_easy_04,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999974,390,1,0.999999999324,6.759999999984655e-10,1
arith_easy_05,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999984,650,1,0.999999999744,2.56000000000512e-10,1
arith_easy_06,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,2,0.935537,543936,0,0.12477052163100011,0.8752294783689999,1
arith_easy_07,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999987,1491,1,0.999999999831,1.6900000000105968e-10,1
arith_easy_08,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.99995,-515,1,0.9999999975,2.499999999999449e-09,1
arith_easy_09,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,1,0.952684,1848,0,0.0923931961440001,0.9076068038559999,1
arith_easy_10,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,1,0.999975,145,1,0.999999999375,6.250000000026379e-10,1
arith_easy_11,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999954,-15,1,0.999999997884,2.1159999999991254e-09,1
arith_easy_12,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,6,0.581552,330572,0,-0.338202728704,0.338202728704,0
arith_easy_13,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999986,621,1,0.999999999804,1.9599999999883773e-10,1
arith_easy_14,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.99991,-530,1,0.9999999919,8.10000000000621e-09,1
arith_easy_15,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.921394,490800,0,0.1510330967639999,0.8489669032360001,1
arith_easy_16,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999972,1007,1,0.999999999216,7.840000000015681e-10,1
arith_easy_17,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.99994,-234,1,0.9999999964,3.599999999993878e-09,1
arith_easy_18,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,4,0.915007,179742,0,0.162762189951,0.837237810049,1
arith_easy_19,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999976,1738,1,0.999999999424,5.760000000011521e-10,1
arith_easy_20,arithmetic_easy,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999977,-771,1,0.999999999471,5.289999999997813e-10,1
arith_hard_01,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.988281,-161,0,0.02330066503900008,0.9766993349609999,1
arith_hard_02,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,7,0.762484,20675,1,-0.05641385025599997,0.05641385025599997,0
arith_hard_03,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999312,33,1,0.999999526656,4.7334400000003016e-07,1
arith_hard_04,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999987,184,1,0.999999999831,1.6900000000105968e-10,1
arith_hard_05,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,10,0.910487,-5234,0,0.17101342283099996,0.828986577169,1
arith_hard_06,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,15,0.48973,58678,0,-0.23983547289999999,0.23983547289999999,0
arith_hard_07,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.999629,58,1,0.999999862359,1.3764100000000758e-07,1
arith_hard_08,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,6,0.714951,28675,0,-0.511154932401,0.511154932401,0
arith_hard_09,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,4,0.929409,20984,0,0.13619891071899992,0.8638010892810001,1
arith_hard_10,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.976739,636,1,0.999458925879,0.0005410741209999989,1
arith_hard_11,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,4,0.436764,5934,0,-0.190762791696,0.190762791696,0
arith_hard_12,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.902785,-77,0,0.18497924377500008,0.8150207562249999,1
arith_hard_13,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,7,0.45335,-999,0,-0.20552622249999997,0.20552622249999997,0
arith_hard_14,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,11,0.593323,8640,0,-0.3520321823290001,0.3520321823290001,0
arith_hard_15,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,9,0.535115,-26493,0,-0.286348063225,0.286348063225,0
arith_hard_16,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,1,0.980111,1557,0,0.03938242767900013,0.9606175723209999,1
arith_hard_17,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,15,0.9547,277,0,0.08854791000000006,0.9114520899999999,1
arith_hard_18,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,0,0.664913,12459,0,-0.44210929756899997,0.44210929756899997,0
arith_hard_19,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,1,0.999898,213,0,0.00020398959600009814,0.9997960104039999,1
arith_hard_20,arithmetic_hard,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,1,0.997876,-362,0,0.004243488624000036,0.995756511376,1
code_algo_01,code_algorithmic,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,12,0.90556,"```python
def binary_search(arr, target):
    low, high = 0, len(arr) - 1
    
    while low <= high:
        mid = (low + high) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
            
    return -1
```

This function performs a binary search on a sorted list `arr` to find the index of the `target`. If the target is found, it returns the index; otherwise, it returns -1.",0,0.17996108639999997,0.8200389136,1
code_algo_02,code_algorithmic,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,2,0.730418,"```python
def merge_sorted(a, b):
    """"""
    Merge two sorted lists into one sorted list.
    
    Args:
    a (list): A sorted list of integers.
    b (list): Another sorted list of integers.
    
    Returns:
    list: A merged and sorted list containing all elements from both input lists.
    """"""
    # Initialize pointers for both lists
    i, j = 0, 0
    # List to hold the merged result
    merged_list = []
    # Traverse both lists and insert smaller of both elements in merged list
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            merged_list.append(a[i])
            i += 1
        else:
            merged_list.append(b[j])
            j += 1
            
    # Collect the remaining elements of the lists, if any left.
    while i < len(a):
        merged_list.append(a[i])
        i += 1
        
    while j < len(b):
        merged_list.append(b[j])
        j += 1
    return merged_list
```

This function will effectively merge two sorted lists into one sorted list. It does so by iterating through both lists with pointers and comparing elements at each step.",0,-0.533510454724,0.533510454724,0
code_algo_03,code_algorithmic,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,2,0.952789,"```python
def gcd(a, b):
    while b != 0:
        a, b = b, a % b
    return a
```",0,0.09219312147900005,0.907806878521,1
code_algo_04,code_algorithmic,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,6,0.92793,"```python
def fib(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        a, b = 0, 1
        for _ in range(2, n + 1):
            a, b = b, a + b
        return b
```

This function calculates the nth Fibonacci number iteratively, which is efficient and avoids potential stack overflow issues with recursive solutions.",0,0.13894591509999998,0.8610540849,1
code_algo_05,code_algorithmic,16,1.0,1.0,1.0,0.9,0,oracle,argmax,16,16,9,0.673407,"```python
def is_prime(n):
    """"""Return True if n is a prime number, False otherwise.""""""
    if n <= 1:
        return False
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    for i in range(3, int(n**0.5) + 1, 2):
        if n % i == 0:
            return False
    return True
```

This function checks if a number `n` is prime by first handling the cases where `n` is less than or equal to 1 (not prime), checking if it's divisible by 2 without exception, and then using an optimized loop that only tests up to the square root of `n` with steps of 2 for further factors.",0,-0.45347698764899996,0.45347698764899996,0
